TITLE,YEAR,HOW BAD? (1-10),AVAILABILITY,REASONS
The United States of Leland,2003,2,Netflix dvd,"Ryan Gosling, Ebert **"
Blood Work,2002,5,Netflix dvd,"directed by Clint Eastwood, Ebert ***1/2"
Murder on a Sunday Morning,2001,4,Netflix dvd,won best documentary
True Crime,1999,2,Netflix dvd,"directed by Clint Eastwood, Ebert ***"
Tumbleweeds,1999,3,"library, Netflix dvd","nominated performance of Janet McTeer, Ebert ***"
My Voyage to Italy,1999,1,Netflix dvd,documentary by Martin Scorsese
David Copperfield,1999,7,"library, Netflix dvd","Daniel Radcliffe, Maggie Smith, Ian McKellan"
One True Thing,1998,7,"library, Netflix dvd","nominated performance Meryl Streep, Ebert ***"
Midnight in the Garden of Good and Evil,1997,2,"library, Netflix dvd","directed by Clint Eastwood, Ebert **1/2"
Pedar (The Father),1996,5,Netflix future,directed by Majid Majidi
Baraka,1992,7,"library, Netflix dvd","documentary by Ron Fricke, Ebert ***"
Dreams,1990,6,Netflix dvd,"directed by Akira Kurosawa, Martin Scorsese plays Van Gogh, collection of tales based on dreams of Kurosawa"
The Field,1990,2,Netflix dvd,"directed by Jim Sheridan, Richard Harris, Ebert *"
Henry V,1989,5,"library, Netflix instant","won best costume design, nominated best actor and director Kenneth Branagh, Ebert ***1/2"
Ironweed,1987,6,"library, Netflix dvd","nominated performances by Jack Nicholson and Meryl Streep, Ebert ***"
The Mosquito Coast,1986,3,Netflix dvd,"directed by Peter Weir, Harrison Ford, Helen Mirren, River Phoenix, Ebert **"
Resurrection,1980,3,,nominated performance Ellen Burstyn
Nosferatu,1979,6,Netflix dvd,"directed by Werner Herzog, Ebert ****, Ebert top ten"
Heart of Glass,1978,7,Netflix dvd,"directed by Werner Herzog, Ebert ****, Ebert top ten"
A Bridge Too Far,1977,2,Netflix dvd,"war film, tons of notable actors, Ebert **"
Overlord,1975,6,Netflix dvd,"British D-Day film, Ebert ****"
Sugarland Express,1974,7,"library, Netflix dvd","Steven Spielberg's first feature film, Ebert **1/2"
Save the Tiger,1973,7,"library, Netflix dvd","best actor Jack Lemmon, Ebert ***"
The Spirit of the Beehive,1973,5,"library, Netflix dvd","looks good, criterion collection"
O Lucky Man!,1973,7,Netflix dvd,"directed by Lindsay Anderson, Malcolm McDowell"
The Day of the Dolphin,1973,4,Netflix dvd,"directed by Mike Nichols, George C. Scott, Gene Siskel top ten, Ebert **"
The Heartbreak Kid,1972,3,Netflix dvd,"nominated best supporting actor and supporting actress, Ebert ***1/2"
Army of Shadows,1969,7,"library, Netflix dvd","Criterion collection, WWII, Holocaust, Ebert's Greatest Movies list"
The Lion in Winter,1968,6,"library, Netflix dvd","best actress Katherine Hepburn, nominated best actor, costume design, director, best picture, Ebert ****"
Shame,1968,6,"library, Netflix future","directed by Ingmar Bergman, Ebert ****"
In the Year of the Pig,1968,6,Netflix dvd,"nominated best documentary, Vietnam War"
A Man for All Seasons,1966,7,"library, Netflix dvd","won best picture, director, actor, cinematography, costume design, screenplay, nominated for best supporting actor, supporting actress"
Bunny Lake is Missing,1965,4,Netflix dvd,"looks good, mystery"
Tom Jones,1963,7,Netflix future,"won best picture, director, screenplay, nominated best actor, supporting actor, 3 supporting actresses"
The List of Adrian Messenger,1963,3,,"directed by John Huston, Kirk Douglas plays 4 characters, George C. Scott"
Long Day's Journey Into Night,1962,3,Netflix dvd,nominated performance by Katherine Hepburn
Judgment at Nuremberg,1961,4,Netflix dvd,AFI top 10 courtroom dramas
On the Bowery,1957,2,Netflix dvd,documentary of life on Bowery in Manhattan
Beat the Devil,1953,7,Netflix dvd,Ebert's Greatest Movies list
The Day the Earth Stood Still,1951,3,Netflix dvd,AFI top 10 sci-fi
Duel in the Sun,1946,3,Netflix dvd,"nominated best actress and supporting actress, one of Scorsese's favorites"
David Copperfield,1935,5,Netflix dvd,"supposed to be great adaptation, good performance by W.C. Fields"
